_id,A_X,A_Y,A_Z
65e0db458b10dd494e77fbdf,0.11963,-0.00732,1.17114
65e0db458b10dd494e77fbe0,0.11035,-0.00415,1.17358
65e0db458b10dd494e77fbe1,0.10620,0.00195,1.16699
65e0db458b10dd494e77fbe2,0.11035,-0.00513,1.15381
65e0db458b10dd494e77fbe3,0.10889,-0.00293,1.16431
65e0db458b10dd494e77fbe4,0.11279,0.00073,1.16162
65e0db458b10dd494e77fbe5,0.11865,-0.00146,1.16455
65e0db458b10dd494e77fbe6,0.10742,-0.00366,1.15820
65e0db458b10dd494e77fbe7,0.10718,-0.01123,1.16553
65e0db458b10dd494e77fbe8,0.11255,-0.00342,1.16455
65e0db458b10dd494e77fbe9,0.12012,-0.00098,1.16626
65e0db458b10dd494e77fbea,0.11646,-0.00415,1.17432
65e0db458b10dd494e77fbeb,0.11841,-0.00439,1.16675
65e0db458b10dd494e77fbec,0.10889,0.00122,1.16284
65e0db458b10dd494e77fbed,0.11401,-0.00879,1.16870
65e0db458b10dd494e77fbee,0.10864,-0.00464,1.16650
65e0db458b10dd494e77fbef,0.11230,0.00391,1.16797
65e0db458b10dd494e77fbf0,0.12207,-0.00391,1.15527
65e0db458b10dd494e77fbf1,0.11182,-0.00244,1.16724
65e0db458b10dd494e77fbf2,0.11572,-0.00098,1.17090
65e0db458b10dd494e77fbf3,0.11572,-0.00928,1.16846
65e0db458b10dd494e77fbf4,0.11255,-0.00439,1.15503
65e0db458b10dd494e77fbf5,0.10596,-0.00488,1.16455
65e0db458b10dd494e77fbf6,0.11182,-0.00195,1.16675
65e0db458b10dd494e77fbf7,0.11401,-0.00732,1.16284
65e0db458b10dd494e77fbf8,0.11084,-0.00684,1.16699
65e0db458b10dd494e77fbf9,0.10815,-0.00146,1.16724
65e0db458b10dd494e77fbfa,0.11157,-0.00073,1.15698
65e0db458b10dd494e77fbfb,0.11133,-0.00171,1.16943
65e0db458b10dd494e77fbfc,0.11377,-0.00293,1.15771
65e0db458b10dd494e77fbfd,0.11011,-0.00659,1.16553
65e0db458b10dd494e77fbfe,0.10596,-0.00122,1.15845
65e0db458b10dd494e77fbff,0.11255,-0.00073,1.16357
65e0db458b10dd494e77fc00,0.11865,-0.00757,1.16162
65e0db458b10dd494e77fc01,0.12134,-0.00488,1.15430
65e0db458b10dd494e77fc02,0.10938,-0.00708,1.16699
65e0db458b10dd494e77fc03,0.10864,-0.00342,1.16040
65e0db458b10dd494e77fc04,0.11182,-0.00049,1.16235
65e0db458b10dd494e77fc05,0.11523,-0.00342,1.16699
65e0db458b10dd494e77fc06,0.11572,-0.00415,1.16748
65e0db458b10dd494e77fc07,0.11963,-0.00562,1.17358
65e0db458b10dd494e77fc08,0.11670,-0.00439,1.16602
65e0db458b10dd494e77fc09,0.11523,-0.00146,1.16602
65e0db458b10dd494e77fc0a,0.10962,0.00049,1.16455
65e0db458b10dd494e77fc0b,0.11401,-0.00586,1.16040
65e0db458b10dd494e77fc0c,0.10522,-0.00317,1.16553
65e0db458b10dd494e77fc0d,0.10522,0.00146,1.16675
65e0db458b10dd494e77fc0e,0.11377,-0.00732,1.15967
65e0db458b10dd494e77fc0f,0.11206,-0.00537,1.17261
65e0db458b10dd494e77fc10,0.11328,-0.00903,1.16772
65e0db458b10dd494e77fc11,0.10718,-0.00220,1.16772
65e0db458b10dd494e77fc12,0.11523,-0.00146,1.16919
65e0db458b10dd494e77fc13,0.11133,-0.00415,1.15845
65e0db458b10dd494e77fc14,0.11328,-0.00488,1.16138
65e0db458b10dd494e77fc15,0.11133,-0.00098,1.16504
65e0db458b10dd494e77fc16,0.11475,-0.00195,1.16626
65e0db458b10dd494e77fc17,0.11523,-0.00659,1.16528
65e0db458b10dd494e77fc18,0.11206,0.00342,1.16992
65e0db458b10dd494e77fc19,0.11450,0.00439,1.16162
65e0db458b10dd494e77fc1a,0.11450,0.00317,1.16699
65e0db458b10dd494e77fc1b,0.11206,-0.00293,1.17261
65e0db458b10dd494e77fc1c,0.10767,-0.00464,1.17554
65e0db458b10dd494e77fc1d,0.11035,-0.00586,1.15942
65e0db458b10dd494e77fc1e,0.11108,-0.00488,1.16577
65e0db458b10dd494e77fc1f,0.11621,0.00073,1.17188
65e0db458b10dd494e77fc20,0.11230,0.00195,1.17407
65e0db458b10dd494e77fc21,0.12207,0.00146,1.16211
65e0db458b10dd494e77fc22,0.11816,0.00000,1.15967
65e0db458b10dd494e77fc23,0.10889,-0.00659,1.15698
65e0db458b10dd494e77fc24,0.10376,-0.00073,1.16504
65e0db458b10dd494e77fc25,0.11133,-0.00439,1.16650
65e0db458b10dd494e77fc26,0.11499,-0.00659,1.15161
65e0db458b10dd494e77fc27,0.10938,-0.00513,1.16479
65e0db458b10dd494e77fc28,0.11792,-0.00952,1.16650
65e0db458b10dd494e77fc29,0.10986,0.00244,1.17236
65e0db458b10dd494e77fc2a,0.11572,-0.00391,1.16943
65e0db458b10dd494e77fc2b,0.10791,-0.00317,1.16455
65e0db458b10dd494e77fc2c,0.11353,-0.00073,1.16821
65e0db458b10dd494e77fc2d,0.11108,-0.00244,1.16943
65e0db458b10dd494e77fc2e,0.11377,0.00806,1.16138
65e0db458b10dd494e77fc2f,0.11206,-0.00488,1.16406
65e0db458b10dd494e77fc30,0.11230,-0.00830,1.16382
65e0db458b10dd494e77fc31,0.10986,-0.00684,1.16211
65e0db458b10dd494e77fc32,0.11206,-0.00391,1.17261
65e0db458b10dd494e77fc33,0.11548,-0.00439,1.16992
65e0db458b10dd494e77fc34,0.11499,-0.00488,1.16455
65e0db458b10dd494e77fc35,0.11475,-0.00391,1.16870
65e0db458b10dd494e77fc36,0.11987,-0.00293,1.17822
65e0db458b10dd494e77fc37,0.10864,-0.00562,1.16724
65e0db458b10dd494e77fc38,0.11938,-0.00903,1.16138
65e0db458b10dd494e77fc39,0.11084,-0.00879,1.16724
65e0db458b10dd494e77fc3a,0.12329,-0.00562,1.16528
65e0db458b10dd494e77fc3b,0.10864,-0.00098,1.16675
65e0db458b10dd494e77fc3c,0.11255,-0.00049,1.16284
65e0db458b10dd494e77fc3d,0.12085,-0.00244,1.16406
65e0db458b10dd494e77fc3e,0.11060,-0.00220,1.16113
65e0db458b10dd494e77fc3f,0.11328,-0.00635,1.16455
65e0db458b10dd494e77fc40,0.10913,-0.00537,1.16455
65e0db458b10dd494e77fc41,0.10864,-0.00122,1.16333
65e0db458b10dd494e77fc42,0.11890,-0.00146,1.16943
65e0db458b10dd494e77fc43,0.11987,0.00049,1.16406
65e0db458b10dd494e77fc44,0.11694,-0.00781,1.15991
65e0db458b10dd494e77fc45,0.11401,-0.00342,1.17798
65e0db458b10dd494e77fc46,0.10669,-0.00537,1.17261
65e0db458b10dd494e77fc47,0.11255,-0.00415,1.16260
65e0db458b10dd494e77fc48,0.11450,-0.00488,1.17188
65e0db458b10dd494e77fc49,0.10767,-0.00269,1.16309
65e0db458b10dd494e77fc4a,0.12012,0.00366,1.16724
65e0db458b10dd494e77fc4b,0.11963,-0.00269,1.16675
65e0db458b10dd494e77fc4c,0.10962,-0.00293,1.16211
65e0db458b10dd494e77fc4d,0.10815,-0.00146,1.16187
65e0db458b10dd494e77fc4e,0.11011,0.00513,1.16357
65e0db458b10dd494e77fc4f,0.11255,-0.00464,1.17554
65e0db458b10dd494e77fc50,0.10571,-0.00098,1.16187
65e0db458b10dd494e77fc51,0.11182,-0.00317,1.17139
65e0db458b10dd494e77fc52,0.11377,-0.00195,1.16626
65e0db458b10dd494e77fc53,0.11255,-0.00073,1.16260
65e0db458b10dd494e77fc54,0.11499,-0.00391,1.16479
65e0db458b10dd494e77fc55,0.11621,-0.01025,1.16016
65e0db458b10dd494e77fc56,0.10791,-0.00415,1.16650
65e0db458b10dd494e77fc57,0.10547,-0.00659,1.16333
65e0db458b10dd494e77fc58,0.11157,-0.00684,1.16162
65e0db458b10dd494e77fc59,0.10840,-0.00928,1.17236
65e0db458b10dd494e77fc5a,0.11255,0.00049,1.17578
65e0db458b10dd494e77fc5b,0.11792,-0.00293,1.15820
65e0db458b10dd494e77fc5c,0.11401,-0.00635,1.16528
65e0db458b10dd494e77fc5d,0.11230,-0.00513,1.15820
65e0db458b10dd494e77fc5e,0.10547,-0.00391,1.16748
65e0db458b10dd494e77fc5f,0.11304,-0.00732,1.16333
65e0db458b10dd494e77fc60,0.11621,-0.00342,1.16333
65e0db458b10dd494e77fc61,0.11401,-0.00024,1.16357
65e0db458b10dd494e77fc62,0.10913,0.00244,1.16943
65e0db458b10dd494e77fc63,0.11938,-0.00391,1.17114
65e0db458b10dd494e77fc64,0.11133,-0.00244,1.16235
65e0db458b10dd494e77fc65,0.11646,-0.00488,1.16895
65e0db458b10dd494e77fc66,0.11108,-0.00098,1.16895
65e0db458b10dd494e77fc67,0.11646,-0.00293,1.15356
65e0db458b10dd494e77fc68,0.12158,-0.00757,1.16431
65e0db458b10dd494e77fc69,0.10815,-0.00562,1.15527
65e0db458b10dd494e77fc6a,0.11060,-0.00537,1.16162
65e0db458b10dd494e77fc6b,0.10669,-0.00562,1.17188
65e0db458b10dd494e77fc6c,0.11499,-0.00635,1.15918
65e0db458b10dd494e77fc6d,0.11719,-0.00391,1.16675
65e0db458b10dd494e77fc6e,0.11206,-0.00342,1.16162
65e0db458b10dd494e77fc6f,0.11548,-0.01099,1.16235
65e0db458b10dd494e77fc70,0.11353,-0.00659,1.16504
65e0db458b10dd494e77fc71,0.10840,-0.00635,1.15747
65e0db458b10dd494e77fc72,0.10864,-0.00537,1.16797
65e0db458b10dd494e77fc73,0.11743,-0.00122,1.16968
65e0db458b10dd494e77fc74,0.11304,-0.00537,1.16016
65e0db458b10dd494e77fc75,0.11353,-0.00342,1.17529
65e0db458b10dd494e77fc76,0.11450,0.00098,1.17065
65e0db458b10dd494e77fc77,0.11768,-0.00391,1.17065
65e0db458b10dd494e77fc78,0.10474,-0.00464,1.16675
65e0db458b10dd494e77fc79,0.11133,-0.00464,1.16504
65e0db458b10dd494e77fc7a,0.11279,-0.00464,1.16821
65e0db458b10dd494e77fc7b,0.10571,-0.00293,1.17358
65e0db458b10dd494e77fc7c,0.11377,-0.00244,1.15454
65e0db458b10dd494e77fc7d,0.11304,-0.00244,1.16748
65e0db458b10dd494e77fc7e,0.11621,-0.00391,1.16675
65e0db458b10dd494e77fc7f,0.11719,-0.00488,1.16602
65e0db458b10dd494e77fc80,0.11035,-0.00757,1.15698
65e0db458b10dd494e77fc81,0.11743,-0.00513,1.16333
65e0db458b10dd494e77fc82,0.11426,-0.00635,1.16357
65e0db458b10dd494e77fc83,0.10815,-0.00586,1.16675
65e0db458b10dd494e77fc84,0.11182,-0.00269,1.16797
65e0db458b10dd494e77fc85,0.10303,-0.00391,1.16162
65e0db458b10dd494e77fc86,0.10962,-0.00732,1.15991
65e0db458b10dd494e77fc87,0.11816,-0.00049,1.16406
65e0db458b10dd494e77fc88,0.11646,-0.00732,1.16455
65e0db458b10dd494e77fc89,0.11865,-0.00513,1.15991
65e0db458b10dd494e77fc8a,0.11279,-0.00220,1.16748
65e0db458b10dd494e77fc8b,0.10938,-0.00635,1.15723
65e0db458b10dd494e77fc8c,0.11353,0.00146,1.17480
65e0db458b10dd494e77fc8d,0.10815,-0.00586,1.16968
65e0db458b10dd494e77fc8e,0.10107,-0.00610,1.16528
65e0db458b10dd494e77fc8f,0.11523,-0.00317,1.16870
65e0db458b10dd494e77fc90,0.10913,-0.00122,1.16528
65e0db458b10dd494e77fc91,0.11475,-0.00488,1.16699
65e0db458b10dd494e77fc92,0.11279,-0.00049,1.16602
65e0db458b10dd494e77fc93,0.11401,-0.00342,1.17407
65e0db458b10dd494e77fc94,0.11963,-0.00830,1.17065
65e0db458b10dd494e77fc95,0.11108,-0.00024,1.17188
65e0db458b10dd494e77fc96,0.11206,0.00000,1.16602
65e0db458b10dd494e77fc97,0.11304,-0.00537,1.15942
65e0db458b10dd494e77fc98,0.11353,0.00244,1.16699
65e0db458b10dd494e77fc99,0.11182,-0.00415,1.16479
65e0db458b10dd494e77fc9a,0.10620,-0.00415,1.16479
65e0db458b10dd494e77fc9b,0.10840,0.00146,1.17236
65e0db458b10dd494e77fc9c,0.11597,-0.00757,1.16772
65e0db458b10dd494e77fc9d,0.11621,0.00024,1.16040
65e0db458b10dd494e77fc9e,0.11401,-0.00220,1.16528
65e0db458b10dd494e77fc9f,0.10864,-0.00610,1.15356
65e0db458b10dd494e77fca0,0.11597,-0.00317,1.16235
65e0db458b10dd494e77fca1,0.11084,-0.00879,1.17017
65e0db458b10dd494e77fca2,0.10303,-0.00781,1.16650
65e0db458b10dd494e77fca3,0.10913,-0.00659,1.16406
65e0db458b10dd494e77fca4,0.10425,-0.00171,1.16724
65e0db458b10dd494e77fca5,0.10938,-0.00366,1.17383
65e0db458b10dd494e77fca6,0.11035,-0.00293,1.16284
65e0db458b10dd494e77fca7,0.11157,-0.00415,1.15405
65e0db458b10dd494e77fca8,0.11499,-0.00122,1.16992
65e0db458b10dd494e77fca9,0.12207,-0.00415,1.15820
65e0db458b10dd494e77fcaa,0.11255,-0.00708,1.16797
65e0db458b10dd494e77fcab,0.10889,-0.00317,1.16675
65e0db458b10dd494e77fcac,0.11157,-0.00220,1.16821
65e0db458b10dd494e77fcad,0.10889,-0.00195,1.16626
65e0db458b10dd494e77fcae,0.11572,-0.00513,1.18091
65e0db458b10dd494e77fcaf,0.11182,-0.00366,1.15894
65e0db458b10dd494e77fcb0,0.11011,0.00317,1.16919
65e0db458b10dd494e77fcb1,0.11304,-0.00342,1.17114
65e0db458b10dd494e77fcb2,0.11230,-0.00659,1.16479
65e0db458b10dd494e77fcb3,0.11426,-0.00269,1.16553
65e0db458b10dd494e77fcb4,0.11572,-0.00830,1.16162
65e0db458b10dd494e77fcb5,0.11035,-0.00317,1.17261
65e0db458b10dd494e77fcb6,0.11035,0.00000,1.16406
65e0db458b10dd494e77fcb7,0.11182,-0.00049,1.17090
65e0db458b10dd494e77fcb8,0.10889,-0.00610,1.16602
65e0db458b10dd494e77fcb9,0.10889,-0.00586,1.15991
65e0db458b10dd494e77fcba,0.10791,-0.00610,1.16675
65e0db458b10dd494e77fcbb,0.11157,-0.00342,1.16699
65e0db458b10dd494e77fcbc,0.11719,-0.00513,1.15454
65e0db458b10dd494e77fcbd,0.10645,-0.00269,1.17407
65e0db458b10dd494e77fcbe,0.11475,-0.00781,1.16382
65e0db458b10dd494e77fcbf,0.11279,-0.00146,1.16675
65e0db458b10dd494e77fcc0,0.11548,-0.00342,1.16064
65e0db458b10dd494e77fcc1,0.12158,-0.00317,1.16724
65e0db458b10dd494e77fcc2,0.11084,-0.00171,1.16455
65e0db458b10dd494e77fcc3,0.11279,-0.00610,1.16626
65e0db458b10dd494e77fcc4,0.11768,-0.00244,1.16650
65e0db458b10dd494e77fcc5,0.11304,0.00146,1.16748
65e0db458b10dd494e77fcc6,0.11938,-0.00464,1.16089
65e0db458b10dd494e77fcc7,0.10718,-0.00366,1.16211
65e0db458b10dd494e77fcc8,0.10986,-0.00586,1.16846
65e0db458b10dd494e77fcc9,0.11084,-0.00342,1.15503
65e0db458b10dd494e77fcca,0.11060,-0.00781,1.16382
65e0db458b10dd494e77fccb,0.11475,0.00073,1.15967
65e0db458b10dd494e77fccc,0.11499,-0.00586,1.15942
65e0db458b10dd494e77fccd,0.11694,-0.00391,1.16309
65e0db458b10dd494e77fcce,0.11255,-0.00049,1.17114
65e0db458b10dd494e77fccf,0.11108,0.00073,1.16382
65e0db458b10dd494e77fcd0,0.10889,-0.00293,1.16187
65e0db458b10dd494e77fcd1,0.11035,-0.00586,1.16943
65e0db458b10dd494e77fcd2,0.11646,0.00024,1.15918
65e0db458b10dd494e77fcd3,0.11646,-0.00220,1.16626
65e0db458b10dd494e77fcd4,0.10547,-0.00732,1.17334
65e0db458b10dd494e77fcd5,0.11499,-0.00146,1.16138
65e0db458b10dd494e77fcd6,0.11035,-0.00879,1.17334
65e0db458b10dd494e77fcd7,0.11279,-0.00513,1.16406
65e0db458b10dd494e77fcd8,0.11523,-0.00610,1.16431
65e0db458b10dd494e77fcd9,0.10547,-0.00269,1.16260
65e0db458b10dd494e77fcda,0.11279,0.00171,1.16650
65e0db458b10dd494e77fcdb,0.10889,-0.00244,1.16724
65e0db458b10dd494e77fcdc,0.10791,-0.00195,1.16138
65e0db458b10dd494e77fcdd,0.11865,-0.00562,1.16406
65e0db458b10dd494e77fcde,0.11597,-0.00464,1.15601
65e0db458b10dd494e77fcdf,0.11426,0.00098,1.16895
65e0db458b10dd494e77fce0,0.11401,-0.00708,1.16040
65e0db458b10dd494e77fce1,0.11108,-0.00146,1.16870
65e0db458b10dd494e77fce2,0.11694,-0.00146,1.16504
65e0db458b10dd494e77fce3,0.11987,-0.00293,1.16284
65e0db458b10dd494e77fce4,0.11548,-0.00732,1.16528
65e0db458b10dd494e77fce5,0.11377,-0.00781,1.17090
65e0db458b10dd494e77fce6,0.11206,-0.00513,1.17065
65e0db458b10dd494e77fce7,0.11597,-0.00757,1.16919
65e0db458b10dd494e77fce8,0.11401,-0.00537,1.15991
65e0db458b10dd494e77fce9,0.10522,-0.01001,1.17310
65e0db458b10dd494e77fcea,0.11255,-0.00293,1.16724
65e0db458b10dd494e77fceb,0.11182,-0.00439,1.16553
65e0db458b10dd494e77fcec,0.11133,-0.00659,1.16748
65e0db458b10dd494e77fced,0.10669,-0.00537,1.16968
65e0db458b10dd494e77fcee,0.10303,-0.00366,1.16431
65e0db458b10dd494e77fcef,0.11377,-0.00513,1.17456
65e0db458b10dd494e77fcf0,0.10693,-0.00269,1.17383
65e0db458b10dd494e77fcf1,0.10596,-0.00952,1.16553
65e0db458b10dd494e77fcf2,0.11792,-0.00342,1.16846
65e0db458b10dd494e77fcf3,0.11743,-0.00171,1.16797
65e0db458b10dd494e77fcf4,0.11597,-0.00146,1.15918
65e0db458b10dd494e77fcf5,0.11206,-0.00049,1.16797
65e0db458b10dd494e77fcf6,0.10645,-0.00659,1.15552
65e0db458b10dd494e77fcf7,0.11084,-0.00269,1.16821
65e0db458b10dd494e77fcf8,0.11719,-0.00342,1.16870
65e0db458b10dd494e77fcf9,0.11279,-0.00146,1.16431
65e0db458b10dd494e77fcfa,0.11523,0.00049,1.16138
65e0db458b10dd494e77fcfb,0.11475,-0.00879,1.16602
65e0db458b10dd494e77fcfc,0.11255,-0.01172,1.16553
65e0db458b10dd494e77fcfd,0.11865,-0.00757,1.16479
65e0db458b10dd494e77fcfe,0.10962,-0.00220,1.16528
65e0db458b10dd494e77fcff,0.11597,-0.00220,1.16235
65e0db458b10dd494e77fd00,0.10913,-0.00488,1.17139
65e0db458b10dd494e77fd01,0.10962,-0.00342,1.16699
65e0db458b10dd494e77fd02,0.11597,-0.00781,1.16333
65e0db458b10dd494e77fd03,0.11279,0.00024,1.16650
65e0db458b10dd494e77fd04,0.11035,-0.00757,1.16357
65e0db458b10dd494e77fd05,0.11426,-0.00244,1.16577
65e0db458b10dd494e77fd06,0.11597,-0.00269,1.17139
65e0db458b10dd494e77fd07,0.10913,0.00122,1.17676
65e0db458b10dd494e77fd08,0.11475,-0.00342,1.16699
65e0db458b10dd494e77fd09,0.11572,-0.00024,1.17041
65e0db458b10dd494e77fd0a,0.11694,-0.00293,1.17505
65e0db458b10dd494e77fd0b,0.11621,-0.00903,1.16748
65e0db458b10dd494e77fd0c,0.11816,-0.00732,1.17041
65e0db458b10dd494e77fd0d,0.10864,-0.00146,1.16260
65e0db458b10dd494e77fd0e,0.11377,-0.00098,1.16113
65e0db458b10dd494e77fd0f,0.11157,-0.00562,1.17065
65e0db458b10dd494e77fd10,0.11108,-0.00146,1.15869
65e0db458b10dd494e77fd11,0.10693,-0.00806,1.16577
65e0db458b10dd494e77fd12,0.11108,-0.00415,1.16626
65e0db458b10dd494e77fd13,0.10596,-0.00415,1.17383
65e0db458b10dd494e77fd14,0.11108,-0.00049,1.16260
65e0db458b10dd494e77fd15,0.11572,-0.00317,1.17603
65e0db458b10dd494e77fd16,0.10864,-0.00342,1.16016
65e0db458b10dd494e77fd17,0.11304,-0.00391,1.16479
65e0db458b10dd494e77fd18,0.11938,0.00464,1.16797
65e0db458b10dd494e77fd19,0.11279,-0.00122,1.17480
65e0db458b10dd494e77fd1a,0.10840,-0.00049,1.16406
65e0db458b10dd494e77fd1b,0.11548,-0.00439,1.16382
65e0db458b10dd494e77fd1c,0.11035,-0.01001,1.16479
65e0db458b10dd494e77fd1d,0.11279,-0.00488,1.15967
65e0db458b10dd494e77fd1e,0.11646,0.00415,1.16846
65e0db458b10dd494e77fd1f,0.10669,0.00024,1.17529
65e0db458b10dd494e77fd20,0.10522,-0.00269,1.16846
65e0db458b10dd494e77fd21,0.11279,-0.00830,1.16553
65e0db458b10dd494e77fd22,0.10986,0.00000,1.16895
65e0db458b10dd494e77fd23,0.11230,-0.00195,1.16113
65e0db458b10dd494e77fd24,0.11377,-0.00781,1.16064
65e0db458b10dd494e77fd25,0.11768,-0.00562,1.16309
65e0db458b10dd494e77fd26,0.11865,-0.00415,1.16064
65e0db458b10dd494e77fd27,0.11377,-0.00195,1.16284
65e0db458b10dd494e77fd28,0.10840,-0.00024,1.16504
65e0db458b10dd494e77fd29,0.11401,-0.00952,1.18188
65e0db458b10dd494e77fd2a,0.11157,-0.00366,1.16406
65e0db458b10dd494e77fd2b,0.12158,-0.00220,1.16187
65e0db458b10dd494e77fd2c,0.11084,-0.00513,1.15942
65e0db458b10dd494e77fd2d,0.11304,-0.00684,1.16040
65e0db458b10dd494e77fd2e,0.11572,-0.00610,1.16406
65e0db458b10dd494e77fd2f,0.12231,-0.00781,1.16748
65e0db458b10dd494e77fd30,0.11621,-0.00928,1.16260
65e0db458b10dd494e77fd31,0.11328,-0.00610,1.16626
65e0db458b10dd494e77fd32,0.11108,-0.00513,1.16089
65e0db458b10dd494e77fd33,0.11987,-0.00146,1.16602
65e0db458b10dd494e77fd34,0.11304,-0.00781,1.16797
65e0db458b10dd494e77fd35,0.11206,0.00000,1.16211
65e0db458b10dd494e77fd36,0.10718,-0.00049,1.16260
65e0db458b10dd494e77fd37,0.11060,-0.00684,1.16870
65e0db458b10dd494e77fd38,0.10815,-0.00562,1.16577
65e0db458b10dd494e77fd39,0.11377,-0.00366,1.16089
65e0db458b10dd494e77fd3a,0.11523,-0.00049,1.15771
65e0db458b10dd494e77fd3b,0.11450,-0.00806,1.16650
65e0db458b10dd494e77fd3c,0.10889,-0.00195,1.16943
65e0db458b10dd494e77fd3d,0.11621,-0.00269,1.15991
65e0db458b10dd494e77fd3e,0.10596,0.00122,1.16650
65e0db458b10dd494e77fd3f,0.10571,-0.00684,1.16064
65e0db458b10dd494e77fd40,0.11475,0.00000,1.17065
65e0db458b10dd494e77fd41,0.11401,-0.00391,1.15991
65e0db458b10dd494e77fd42,0.11499,-0.00586,1.16748
65e0db458b10dd494e77fd43,0.10596,-0.00830,1.16260
65e0db458b10dd494e77fd44,0.10962,0.00024,1.16162
65e0db458b10dd494e77fd45,0.11182,-0.00366,1.16626
65e0db458b10dd494e77fd46,0.10718,0.00342,1.16357
65e0db458b10dd494e77fd47,0.11475,-0.00195,1.17188
65e0db458b10dd494e77fd48,0.10938,-0.00537,1.16846
65e0db458b10dd494e77fd49,0.11597,-0.00269,1.16064
65e0db458b10dd494e77fd4a,0.11011,-0.00293,1.16309
65e0db458b10dd494e77fd4b,0.10327,-0.00195,1.15942
65e0db458b10dd494e77fd4c,0.11279,-0.00342,1.16113
65e0db458b10dd494e77fd4d,0.11035,0.00024,1.17017
65e0db458b10dd494e77fd4e,0.11035,-0.00537,1.16406
65e0db458b10dd494e77fd4f,0.11230,-0.00635,1.15845
65e0db458b10dd494e77fd50,0.11182,0.00049,1.16699
65e0db458b10dd494e77fd51,0.11353,-0.00146,1.16626
65e0db458b10dd494e77fd52,0.11890,-0.00244,1.17529
65e0db458b10dd494e77fd53,0.11450,-0.00293,1.16040
65e0db458b10dd494e77fd54,0.10962,-0.00415,1.16187
65e0db458b10dd494e77fd55,0.11182,-0.00562,1.16553
65e0db458b10dd494e77fd56,0.11230,-0.00366,1.17383
65e0db458b10dd494e77fd57,0.11279,-0.00146,1.16382
65e0db458b10dd494e77fd58,0.11182,-0.00586,1.16406
65e0db458b10dd494e77fd59,0.10596,-0.00415,1.15820
65e0db458b10dd494e77fd5a,0.11401,-0.00293,1.16724
65e0db458b10dd494e77fd5b,0.11328,0.00366,1.16357
65e0db458b10dd494e77fd5c,0.11108,-0.00269,1.16455
65e0db458b10dd494e77fd5d,0.11670,-0.00073,1.15942
65e0db458b10dd494e77fd5e,0.11206,-0.00708,1.17261
65e0db458b10dd494e77fd5f,0.10962,-0.00562,1.15991
65e0db458b10dd494e77fd60,0.10767,0.00049,1.16284
65e0db458b10dd494e77fd61,0.11353,-0.00415,1.16040
65e0db458b10dd494e77fd62,0.11011,-0.00220,1.15649
65e0db458b10dd494e77fd63,0.11426,-0.00220,1.17065
65e0db458b10dd494e77fd64,0.11987,-0.00439,1.15918
65e0db458b10dd494e77fd65,0.10498,-0.00488,1.16504
65e0db458b10dd494e77fd66,0.11182,-0.00586,1.16870
65e0db458b10dd494e77fd67,0.11621,0.00342,1.15845
65e0db458b10dd494e77fd68,0.11279,-0.00171,1.16968
65e0db458b10dd494e77fd69,0.11230,-0.00342,1.16504
65e0db458b10dd494e77fd6a,0.11401,-0.01050,1.16650
65e0db458b10dd494e77fd6b,0.11157,-0.00488,1.17456
65e0db458b10dd494e77fd6c,0.11792,-0.00513,1.17285
65e0db458b10dd494e77fd6d,0.11963,-0.00537,1.17090
65e0db458b10dd494e77fd6e,0.10718,-0.00635,1.16309
65e0db458b10dd494e77fd6f,0.10278,-0.00708,1.16455
65e0db458b10dd494e77fd70,0.11499,0.00000,1.16357
65e0db458b10dd494e77fd71,0.11548,-0.01099,1.16455
65e0db458b10dd494e77fd72,0.11230,-0.00439,1.16626
65e0db458b10dd494e77fd73,0.11157,-0.00439,1.17358
